"Раздел";"Код";"Класс";"Фактор";"Ед.";"Уровень агрегации";"Минимум для обучения";"Где особенно нужен";"Почему критичен";"Фактическое значение";"Источник / файл";"Дата источника";"Комментарий"
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-001";"A";"культура";"";"регион / опыт / поле";"вид культуры";"стратификация корпуса";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-002";"A";"форма культуры";"";"регион / опыт / поле";"озимый / яровой";"выбор веток и сценариев";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-003";"A";"фаза развития `BBCH`";"BBCH";"опыт / поле";"фаза или диапазон";"фенология и контрольные точки";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-004";"A";"норма высева";"кг/га, шт/м²";"опыт / поле";"факт";"отклик на норму высева";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-005";"A";"срок сева";"дата / декада";"опыт / поле";"факт";"модели сроков";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-006";"A";"глубина сева";"см";"опыт / поле";"факт";"качество всходов";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-007";"A";"дозы удобрений N";"кг д.в./га";"опыт / поле";"факт";"отклик на питание";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-008";"A";"дозы удобрений P";"кг д.в./га";"опыт / поле";"факт";"отклик на питание";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-009";"A";"дозы удобрений K";"кг д.в./га";"опыт / поле";"факт";"отклик на питание";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-010";"A";"дозы серы";"кг S/га";"опыт / поле";"факт";"специфический отклик рапса";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-011";"A";"дозы бора";"кг B/га, л/га";"опыт / поле";"факт";"специфический отклик рапса";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-012";"A";"обработка СЗР";"л/га, кг/га";"опыт / поле";"продукт + доза + срок";"отклик на болезни и вредителей";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-013";"A";"регулятор роста";"л/га";"опыт / поле";"продукт + срок";"адаптация озимого рапса";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-014";"A";"урожайность";"т/га";"опыт / поле";"факт";"целевая переменная";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-015";"A";"качество";"% / класс";"опыт / поле";"факт";"качество результата";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-016";"A";"потери при уборке";"% / кг/га";"опыт / поле";"желательно";"отклик на технологию уборки";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-017";"B";"посевная площадь";"га";"регион / район / год";"факт";"базовая статистика";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-018";"B";"убранная площадь";"га";"регион / район / год";"факт";"базовая статистика";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-019";"B";"урожайность по культуре";"т/га";"регион / район / год";"факт";"базовое ожидание";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-020";"B";"валовой сбор";"т";"регион / район / год";"факт";"макроконтекст";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-021";"B";"структура культур";"%";"регион / район / год";"желательно";"конкуренция культур и зональная пригодность";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-022";"C";"средняя температура";"°C";"день / декада / месяц";"факт";"отклик на погоду";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-023";"C";"минимум температуры";"°C";"день / декада / месяц";"факт";"повреждение морозом";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-024";"C";"максимум температуры";"°C";"день / декада / месяц";"факт";"тепловой стресс";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-025";"C";"осадки";"мм";"день / декада / месяц";"факт";"водный стресс";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-026";"C";"`SAT` / `GDD`";"°C";"сезон / период";"факт";"выбор ветки и фенология";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-027";"C";"снежный покров";"см / дни";"неделя / месяц";"желательно";"перезимовка";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-028";"C";"дата схода снега";"дата";"сезон / район";"желательно";"весенний старт";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-029";"C";"экстремальные события";"";"сезон / район";"список событий";"обучение рискам";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-030";"D";"тип почвы";"";"поле / зона / район";"факт";"стратификация";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-031";"D";"`pH`";"pH";"поле / зона / район";"факт";"допуск поля и риск";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-032";"D";"гумус";"%";"поле / зона / район";"желательно";"качество почвы";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-033";"D";"`P_available`";"мг/кг";"поле / зона / район";"факт";"отклик на питание";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-034";"D";"`K_available`";"мг/кг";"поле / зона / район";"факт";"отклик на питание";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-035";"D";"`S_available`";"мг/кг";"поле / зона / район";"желательно";"отклик на серу";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-036";"D";"`B_available`";"мг/кг";"поле / зона / район";"желательно";"отклик на бор";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-037";"D";"уплотнение";"";"поле / зона";"да / нет / уровень";"исполнимость и риск";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-038";"D";"дренаж / переувлажнение";"";"поле / зона";"описание / класс";"риск влаги";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-039";"E";"предшественник";"";"поле × сезон";"факт";"отклик на ротацию";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-040";"E";"лет без рапса";"лет";"поле × сезон";"факт";"правила севооборота";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-041";"E";"сорт / гибрид";"";"поле × сезон";"факт";"отклик генотипа";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-042";"E";"зимостойкость сорта";"балл";"опыт / сорт";"желательно";"пригодность ветки";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-043";"E";"болезнь / степень поражения";"% / балл";"поле × фаза";"факт";"модели болезней";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-044";"E";"вредитель / численность";"экз./растение, экз./м²";"поле × фаза";"факт";"модели вредителей";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-045";"E";"густота стояния";"шт/м²";"поле × фаза";"факт";"отклик густоты";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-046";"E";"параметры розетки";"листьев, мм, см";"поле × осень";"желательно";"успех перезимовки";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-047";"E";"выживаемость после зимы";"%";"поле × весна";"факт";"модели зимнего риска";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-048";"E";"техника выполнения";"тип / модель";"поле × операция";"желательно";"реалистичность исполнения";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-049";"E";"окно выполнения операции";"дата / дни";"поле × операция";"факт";"реалистичность сроков";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-050";"E";"факт `Evidence` и наблюдений";"";"поле × сезон";"желательно";"обучение объяснимости";"";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-001";"";"`pH`";"pH";"";"";"";"блок допуска поля и риск килы";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-002";"";"`rotation_years_since_rapeseed`";"лет";"";"";"";"правило севооборота";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-003";"";"`clubroot_history`";"логическое значение";"";"";"";"абсолютный риск поля";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-004";"";"`SAT_avg`";"°C";"";"";"";"выбор озимой или яровой ветки";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-005";"";"сроки сева";"дата";"";"";"";"один из главных драйверов урожая";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-006";"";"развитие розетки к зиме";"листьев, мм, см";"";"";"";"ключ к перезимовке";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-007";"";"выживаемость после зимы";"%";"";"";"";"ключ к весеннему решению";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-008";"";"обеспеченность серой";"мг/кг и кг/га";"";"";"";"сильный фактор отклика рапса";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-009";"";"обеспеченность бором";"мг/кг и кг/га";"";"";"";"сильный фактор отклика рапса";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-010";"";"сроки и потери при уборке";"дата, %";"";"";"";"сильный фактор потери урожая";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-011";"";"болезни цветения и налива";"% / балл";"";"";"";"прямой урон урожаю и качеству";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-012";"";"вредители осени и весны";"экз./растение, экз./м²";"";"";"";"прямой урон посеву";"";"";"";""
